peso,cirf,clasificacion
114,22.5,manzanas
115,21,manzanas
102,19,manzanas
97,20,manzanas
95,19.6,manzanas
104,21,manzanas
108,20.9,manzanas
107,21,manzanas
118,21.6,manzanas
103,19.5,manzanas
122,21.5,manzanas
91,19.4,manzanas
103,21,manzanas
97,19.5,manzanas
197,22,naranjas
197,24,naranjas
171,22.5,naranjas
154,22.2,naranjas
152,22,naranjas
171,22.5,naranjas
172,22,naranjas
158,21.5,naranjas
165,22.8,naranjas
160,23,naranjas
